problem_id,score
0,74.8130316957143
1,100.0
2,100.0
3,10.0
4,88.54
5,59.00000000000001
6,97.18
7,93.39999999999999
8,94.1978
9,100.0
10,95.33500000000001
11,30.0
13,99.39899999999999
14,95.998
15,100.0
16,96.37299999999998
17,96.59400000000001
22,0.0
23,100.0
24,63.824999999999996
25,90.049
26,71.03174
27,57.309999999999995
28,92.0
30,91.78
33,99.52999999999999
35,89.27
36,31.25
40,76.66999999999999
41,95.784
42,43.31199999999999
43,2.19
44,77.898
45,54.249866666666655
46,10.045606666666666
47,93.01914666666666
48,35.782626666666665
50,69.975
52,100.0
53,44.54
54,43.79600000000001
57,98.89333333333336
58,69.63999999999996
59,83.05647
60,99.33595000000001
61,0.0
62,96.37599999999999
63,72.58648464163825
64,99.61492
68,47.714999999999996
69,96.003
70,95.08454545454545
72,100.0
73,93.35349999999998
75,81.6789
77,90.0
79,100.0
80,16.9909
81,90.0
82,90.0
83,100.0
85,99.45
86,100.0
87,30.0
89,92.76600000000002
93,100.0
101,89.659375
104,0.0
106,90.75899999999999
107,80.90000000000002
108,19.056
109,100.0
110,100.0
111,100.0
112,100.0
113,0.0
117,100.0
119,100.0
120,100.0
121,74.38714285714285
122,100.0
123,88.33400000000002
124,100.0
125,0.0
127,100.0
132,93.32999999999998
133,76.13900000000001
134,99.44099999999999
135,0.0
137,60.61
138,0.0
140,100.0
141,30.0
142,100.0
143,80.19999999999999
144,98.37400000000001
145,29.517857144999997
147,95.12979999999996
148,39.215499999999984
149,43.64266666666667
150,78.8288
151,94.33640000000001
152,60.3758
153,95.30066666666667
154,0.0
155,62.1588
156,1.7118000000000002
157,0.0
158,90.9433
159,13.376799999999992
160,50.280533333333345
161,52.76653333333331
162,0.0
163,59.906866666666645
164,0.0
165,89.41953333333339
166,34.76873333333332
167,65.30533333333328
168,74.49626666666667
169,0.0
170,98.6668
171,0.0
174,80.9941
175,98.80205666666667
176,98.66204333333333
177,99.66704
178,92.81159000000001
179,100.0
180,100.0
181,85.80399
182,99.923
183,81.008
184,100.0
185,100.0
186,100.0
187,100.0
188,100.0
189,52.427777777777784
192,87.62371333333333
193,93.80632999999999
203,86.066
205,0.0
207,67.85666666666667
209,0.0
210,22.08753004
211,87.108
212,100.0
213,0.0
214,98.08333333333333
217,10.0
220,71.8815
222,100.0
225,38.928
227,2.448599999999999
228,100.0
229,42.994285714285716
231,0.0
233,100.0
239,94.81599999999999
241,28.433000000000003
243,100.0
245,89.581
247,40.43599999999999
248,12.805
249,100.0
252,85.86000000000003
253,100.0
254,57.894
255,44.383
256,44.75900000000001
257,59.97
258,87.84100000000001
263,95.16218632537999
301,70.43691818
302,41.43462868444999
303,49.854533762500004
304,80.15928690009
305,68.3175005625
306,44.64841
307,55.06650231
308,31.91665
309,47.158115947
310,65.00005766
311,91.443
312,69.01031
313,59.01330627
314,41.716440000000006
315,78.46150444999999
